name,restaurant,city,description,type,tags
Premium Smash Burger,Hundred Burgers,Madrid,Doble smash burger con queso americano fundido y bacon crujiente. La combinación perfecta de jugosidad y sabor ahumado que define a las mejores smash burgers de Madrid.,premium,"smash,bacon,queso,doble"
La Mexicana,La Chelinda,Madrid,Hamburguesa con carne de vacuno premium aderezada con jalapeños encurtidos nachos crujientes guacamole fresco y un toque de pico de gallo. Una explosión de sabores mexicanos en cada bocado.,premium,"picante,mexicana,guacamole,jalapeños"
Kevin Bacon,Goiko Grill Fuencarral,Madrid,La icónica burger de Goiko con bacon crujiente queso cheddar fundido cebolla caramelizada y salsa BBQ ahumada. Un clásico que nunca falla.,premium,"bacon,BBQ,cheddar,cebolla"
Kevin Bacon,Goiko Grill Gran Via,Madrid,La icónica burger de Goiko con bacon crujiente queso cheddar fundido cebolla caramelizada y salsa BBQ ahumada. Un clásico que nunca falla.,premium,"bacon,BBQ,cheddar,cebolla"
Kevin Bacon,Goiko Grill Velazquez,Madrid,La icónica burger de Goiko con bacon crujiente queso cheddar fundido cebolla caramelizada y salsa BBQ ahumada. Un clásico que nunca falla.,premium,"bacon,BBQ,cheddar,cebolla"
The Original,Bacoa Raimundo Fernandez Villaverde,Madrid,Hamburguesa clásica de Bacoa con carne 100% ternera gallega queso manchego fundido tomate lechuga y salsa especial. Simple perfecta y deliciosa.,clásica,"ternera,manchego,clásica"
The Original,Bacoa Atocha,Madrid,Hamburguesa clásica de Bacoa con carne 100% ternera gallega queso manchego fundido tomate lechuga y salsa especial. Simple perfecta y deliciosa.,clásica,"ternera,manchego,clásica"
The Original,Bacoa Arturo Soria,Madrid,Hamburguesa clásica de Bacoa con carne 100% ternera gallega queso manchego fundido tomate lechuga y salsa especial. Simple perfecta y deliciosa.,clásica,"ternera,manchego,clásica"
Big AL's BBQ Burger,Big AL's,Madrid,Hamburguesa generosa con pulled pork BBQ aros de cebolla crujientes queso cheddar y salsa BBQ casera. Una bomba de sabor americano.,premium,"BBQ,pulled-pork,cheddar,americana"
Brisket Burger,Fat Matty's BBQ,Madrid,Hamburguesa con brisket ahumado durante 14 horas queso pepper jack jalapeños y salsa BBQ de whisky. El paraíso para los amantes del BBQ.,premium,"brisket,BBQ,ahumado,picante"
The Classic,Home Burger Bar Madrid,Madrid,Doble smash con queso americano cebolla grillada y la salsa secreta de Home. Jugosa perfecta y adictiva.,doble,"smash,doble,clásica,casera"
La Reina,La Burguesia,Madrid,Hamburguesa premium con foie queso de cabra cebolla caramelizada y reducción de vino tinto. Elegancia gourmet en cada bocado.,premium,"foie,gourmet,premium,queso-cabra"
La Reina,La Burguesia Chamberi,Madrid,Hamburguesa premium con foie queso de cabra cebolla caramelizada y reducción de vino tinto. Elegancia gourmet en cada bocado.,premium,"foie,gourmet,premium,queso-cabra"
La Reina,La Burguesia Serrano,Madrid,Hamburguesa premium con foie queso de cabra cebolla caramelizada y reducción de vino tinto. Elegancia gourmet en cada bocado.,premium,"foie,gourmet,premium,queso-cabra"
La Especial,TGB Plaza de España,Madrid,Doble carne de ternera con queso gouda bacon crispy lechuga tomate y salsa TGB. El bestseller de toda la vida.,doble,"ternera,gouda,bacon,clásica"
La Especial,TGB Orense,Madrid,Doble carne de ternera con queso gouda bacon crispy lechuga tomate y salsa TGB. El bestseller de toda la vida.,doble,"ternera,gouda,bacon,clásica"
La Especial,TGB La Vaguada,Madrid,Doble carne de ternera con queso gouda bacon crispy lechuga tomate y salsa TGB. El bestseller de toda la vida.,doble,"ternera,gouda,bacon,clásica"
Truffle Burger,Umami Burger Azca,Madrid,Hamburguesa con glaseado de salsa umami queso trufado champiñones salteados y crema de trufa. Sabor intenso y sofisticado.,premium,"trufa,champiñones,gourmet,umami"
Truffle Burger,Umami Burger Goya,Madrid,Hamburguesa con glaseado de salsa umami queso trufado champiñones salteados y crema de trufa. Sabor intenso y sofisticado.,premium,"trufa,champiñones,gourmet,umami"
The Good Burger,The Good Burger Recoletos,Madrid,Smash burger doble con queso americano cebolla grillada pepinillos y salsa de mostaza miel. Simple deliciosa y perfectamente ejecutada.,doble,"smash,doble,mostaza,clásica"
The Good Burger,The Good Burger Castellana,Madrid,Smash burger doble con queso americano cebolla grillada pepinillos y salsa de mostaza miel. Simple deliciosa y perfectamente ejecutada.,doble,"smash,doble,mostaza,clásica"
B&W Premium,Black and White Burger,Madrid,Hamburguesa con carne Angus queso roquefort bacon caramelizado rúcula y cebolla morada. Combinación premium de sabores intensos.,premium,"angus,roquefort,bacon,gourmet"
Bacon Cheeseburger,Five Guys Gran Via,Madrid,Doble hamburguesa con bacon extra queso americano fundido y todos los toppings fresh que quieras. Personalizable al máximo.,doble,"bacon,queso,americana,personalizable"
Bacon Cheeseburger,Five Guys La Gavia,Madrid,Doble hamburguesa con bacon extra queso americano fundido y todos los toppings fresh que quieras. Personalizable al máximo.,doble,"bacon,queso,americana,personalizable"
Big Mamma Classic,Big Mamma Burgers,Madrid,Triple smash con triple queso cheddar cebolla caramelizada bacon y salsa especial. Para los que tienen hambre de verdad.,triple,"smash,triple,cheddar,bacon"
La Nostra,Hamburguesa Nostra Tribunal,Madrid,Hamburguesa con carne de buey queso brie tomate seco pesto y rúcula. Sabores mediterráneos con toque gourmet.,premium,"buey,brie,pesto,mediterránea"
La Nostra,Hamburguesa Nostra Malasaña,Madrid,Hamburguesa con carne de buey queso brie tomate seco pesto y rúcula. Sabores mediterráneos con toque gourmet.,premium,"buey,brie,pesto,mediterránea"
New York Style,Nueva York Burger,Madrid,Doble smash al estilo neoyorquino con queso americano cebolla grillada salsa especial y pepinillos. El sabor auténtico de NYC.,doble,"smash,doble,neoyorquina,clásica"
La Musa Burger,La Musa Latina,Madrid,Hamburguesa gourmet con carne de retinto queso de cabra cebolla confitada y mermelada de tomate. Creatividad culinaria en burger.,premium,"retinto,queso-cabra,gourmet,confitada"
Pulled Pork Burger,Alfredo's Barbacoa,Madrid,Hamburguesa con pulled pork ahumado 12 horas coleslaw casero queso cheddar y salsa BBQ de bourbon. BBQ de Texas en Madrid.,premium,"pulled-pork,BBQ,ahumado,texano"
La Pepita Classic,La Pepita Burger Bar,Madrid,Smash burger con queso manchego bacon ibérico pimientos de padrón y alioli de ajo negro. Fusión española perfecta.,premium,"smash,manchego,ibérico,española"
La Maricastaña,Maricastaña,Madrid,Hamburguesa con carne de vaca vieja queso tetilla cebolla frita crujiente y salsa de mostaza antigua. Sabor gallego con personalidad.,premium,"vaca-vieja,tetilla,gallega,gourmet"
La Tape Burger,La Tape,Madrid,Doble smash con queso provolone bacon crujiente huevo frito y patatas paja. Contundente y deliciosa.,doble,"smash,doble,huevo,provolone"
Beyond Burger,Honest Greens Serrano,Madrid,Hamburguesa 100% vegetal Beyond Meat con queso vegano aguacate tomate lechuga y salsa tahini. Opción plant-based premium.,vegana,"vegana,beyond-meat,aguacate,saludable"
Beyond Burger,Honest Greens Chamberi,Madrid,Hamburguesa 100% vegetal Beyond Meat con queso vegano aguacate tomate lechuga y salsa tahini. Opción plant-based premium.,vegana,"vegana,beyond-meat,aguacate,saludable"
Smash Burger,Vips Smart Plaza Castilla,Madrid,Doble smash burger con queso cheddar bacon cebolla frita y salsa barbacoa. El clásico americano bien hecho.,doble,"smash,doble,cheddar,BBQ"
Smash Burger,Vips Smart Goya,Madrid,Doble smash burger con queso cheddar bacon cebolla frita y salsa barbacoa. El clásico americano bien hecho.,doble,"smash,doble,cheddar,BBQ"
BBQ Ribs Burger,Ribs,Madrid,Hamburguesa con carne ahumada costilla BBQ deshuesada queso cheddar y aros de cebolla. Sabor BBQ auténtico.,premium,"BBQ,costilla,ahumado,cheddar"
The Diner Burger,Tommy Mel's Serrano,Madrid,Doble burger al estilo diner americano años 50 con queso amarillo lechuga tomate cebolla y salsa mil islas.,doble,"americana,clásica,diner,vintage"
The Diner Burger,Tommy Mel's Goya,Madrid,Doble burger al estilo diner americano años 50 con queso amarillo lechuga tomate cebolla y salsa mil islas.,doble,"americana,clásica,diner,vintage"
Danny's Classic,Danny's Diner,Madrid,Triple smash al estilo americano con queso americano pepinillos cebolla y mostaza amarilla. Puro American Dream.,triple,"smash,triple,americana,clásica"
Beverly Burger,Beverly Hills Burger,Madrid,Hamburguesa premium con carne Wagyu queso brie foie trufa y reducción balsámica. Lujo californiano.,premium,"wagyu,foie,trufa,luxury"
The Cheese Bomb,Cheese Bar,Madrid,Hamburguesa rellena de queso fundido por dentro más cobertura de 3 quesos por fuera. El paraíso quesero.,premium,"queso,fundido,cheese-bomb,premium"
The Bulldog,Bulldog Cafe,Madrid,Doble smash con pulled pork BBQ queso cheddar jalapeños y aros de cebolla. Brutal y deliciosa.,doble,"smash,pulled-pork,BBQ,picante"
Federal Burger,Federal Cafe,Madrid,Hamburguesa con carne angus queso cheddar bacon aguacate tomate y salsa chipotle. Australian style con twist mexicano.,premium,"angus,aguacate,chipotle,australiana"
Nancy's Special,Nancy Burger,Madrid,Smash burger doble con queso americano cebolla caramelizada bacon y salsa secreta Nancy. Sabor casero auténtico.,doble,"smash,doble,casera,bacon"
Kuma Black,Kuma Burgers,Madrid,Hamburguesa con pan negro carbón activo carne black angus queso ahumado y salsa teriyaki. Dark y deliciosa.,premium,"black-angus,pan-negro,teriyaki,japonesa"
La Pecaminosa,Pecado Carnal,Madrid,Hamburguesa con carne de buey foie queso idiazabal cebolla caramelizada y trufa negra. Pecado gourmet total.,premium,"buey,foie,trufa,idiazabal"
La Nostra Burger,La Vaca Nostra,Madrid,Hamburguesa de vaca madurada 60 días queso manchego curado jamón ibérico y tomate cherry confitado. Premium español.,premium,"madurada,manchego,ibérico,española"
Tizoncito Burger,Tizoncito,Madrid,Hamburguesa con carne ahumada al carbón queso oaxaca guacamole jalapeños y salsa de chipotle. México meets Madrid.,premium,"ahumada,mexicana,guacamole,chipotle"
BiBo Burger,BiBo Madrid,Madrid,Hamburguesa gourmet de Dani García con carne premium pan brioche mantequilla quesos españoles y cebolla confitada.,premium,"gourmet,dani-garcía,española,brioche"
Treze Classic,Treze,Madrid,Smash burger doble con queso cheddar bacon crispy cebolla morada y salsa de la casa. Ejecución perfecta.,doble,"smash,doble,cheddar,bacon"
Santa Rita Burger,Santa Rita Experience,Madrid,Hamburguesa premium con carne de retinto queso payoyo tomate raf y aceite de trufa. Producto de primera calidad.,premium,"retinto,payoyo,raf,trufa"
La Máquina Burger,La Máquina de la Moraleja,Madrid,Doble smash con queso gouda bacon ahumado huevo frito y patatas paja. Contundente y sabrosa.,doble,"smash,doble,huevo,ahumado"
SideWalk Classic,SideWalk,Madrid,Triple smash con triple queso americano cebolla grillada pepinillos y salsa especial. Clásico bien ejecutado.,triple,"smash,triple,clásica,americana"
Picsa Burger,Picsa,Madrid,Hamburguesa con carne premium queso burrata rúcula tomate cherry y pesto. Italiano meets burger.,premium,"burrata,pesto,italiana,gourmet"
Grosso Burger,Grosso Napoletano,Madrid,Hamburguesa con carne de ternera napolitana queso mozzarella bufala tomate y albahaca fresca. Estilo italiano auténtico.,premium,"napolitana,mozzarella,albahaca,italiana"
La del Patio,El Patio de mi Casa,Madrid,Hamburguesa con carne ecológica queso de cabra cebolla caramelizada nueces y miel. Dulce salado perfecto.,premium,"ecológica,queso-cabra,miel,nueces"
Tony's BBQ Burger,Tony Roma's La Vaguada,Madrid,Hamburguesa con costilla BBQ deshuesada queso cheddar aros de cebolla y salsa BBQ Tony Roma's.,premium,"BBQ,costilla,cheddar,americana"
Whopper,Burger King Gran Via,Madrid,La clásica Whopper con carne a la parrilla lechuga tomate cebolla pepinillos mayonesa y ketchup. El clásico que todos conocemos.,clásica,"parrilla,clásica,americana,whopper"
Big Mac,McDonald's Sol,Madrid,Dos carnes pan con sésamo lechuga queso salsa especial cebolla y pepinillos. El icono global de las burgers.,clásica,"clásica,big-mac,icónica,americana"
Green Burger,Vegan Burgers,Madrid,Hamburguesa 100% vegana con quinoa espinacas garbanzos aguacate y salsa tahini. Saludable y deliciosa.,vegana,"vegana,quinoa,aguacate,saludable"
The Fitzgerald,The Fitzgerald Burger Company,Madrid,Smash burger doble con queso cheddar bacon pepinillos cebolla y salsa mil islas. American classic perfecto.,doble,"smash,doble,americana,clásica"
La Mordida Especial,La Mordida,Madrid,Hamburguesa con carne black angus queso manchego jamón ibérico y pimientos de padrón. Fusión española premium.,premium,"black-angus,manchego,ibérico,española"
Monkey Burger,Monkey Bar,Madrid,Triple smash con triple queso bacon crispy cebolla frita huevo y salsa BBQ. Salvaje y deliciosa.,triple,"smash,triple,BBQ,huevo"
La Chuleta Burger,La Chuleta,Madrid,Hamburguesa con carne de vaca madurada queso idiazabal pimiento del piquillo y cebolla caramelizada. Asador en burger.,premium,"madurada,idiazabal,piquillo,asador"
Fire Burger Special,Fire Burger,Madrid,Hamburguesa con carne ahumada queso pepper jack jalapeños bacon y salsa picante de habanero. Fuego total.,premium,"ahumada,picante,jalapeños,habanero"
La Perra Chica,Perrachica,Madrid,Smash burger con queso cheddar bacon crispy cebolla caramelizada y salsa de mostaza antigua. Sabor único.,premium,"smash,cheddar,bacon,mostaza"
La Barra Burger,La Barra M,Madrid,Hamburguesa con carne de ternera gallega queso San Simón da Costa cebolla confitada y pimientos. Gallega auténtica.,premium,"ternera-gallega,san-simón,gallega,confitada"
La Nostra Especial,Burger Nostra,Madrid,Doble smash con queso provolone bacon huevo frito y patatas paja. Contundente y sabrosa.,doble,"smash,doble,provolone,huevo"
Cream Classic,Cream Burger,Madrid,Hamburguesa con carne premium queso cream cheese bacon y cebolla caramelizada. Cremosa y deliciosa.,premium,"cream-cheese,bacon,cremosa,caramelizada"
Grosso Premium,Grosso Burger,Madrid,Hamburguesa con carne de buey queso gorgonzola cebolla caramelizada y rúcula. Sabor intenso italiano.,premium,"buey,gorgonzola,italiana,caramelizada"
Meat Special,Meat Bros,Madrid,Triple carne con triple queso cheddar bacon ahumado y salsa BBQ. Para carnívoros extremos.,triple,"triple,cheddar,BBQ,carnívora"
Black Turtle Burger,The Black Turtle,Madrid,Hamburguesa con pan de carbón activo carne black angus queso cheddar ahumado y salsa especial. Dark burger premium.,premium,"pan-negro,black-angus,ahumado,dark"
Bun Classic,Bun,Madrid,Smash burger doble con queso americano cebolla grillada pepinillos y salsa Bun. Simple perfecta adictiva.,doble,"smash,doble,clásica,casera"
Pork Pulled Burger,Pork Bros,Madrid,Hamburguesa con pulled pork ahumado 12 horas coleslaw cheddar y salsa BBQ. El rey del cerdo.,premium,"pulled-pork,ahumado,BBQ,cerdo"
Rotisserie Burger,Birds Rotisserie,Madrid,Hamburguesa de pollo al rotisserie con aguacate queso suizo bacon y mayonesa de ajo. Pollo jugoso premium.,pollo,"pollo,rotisserie,aguacate,suizo"
La Chelinda Especial,La Chelinda Chamberi,Madrid,Hamburguesa con carne de vacuno premium jalapeños nachos guacamole y pico de gallo. Mexicana auténtica.,premium,"mexicana,jalapeños,guacamole,picante"
The Office Burger,La Office,Madrid,Smash burger con queso manchego bacon ibérico huevo frito y patatas. La burger oficinista definitiva.,premium,"smash,manchego,ibérico,huevo"
Delic Burger,Delic,Madrid,Hamburguesa gourmet con carne de retinto queso de oveja cebolla confitada y mermelada de higos. Sofisticada y deliciosa.,premium,"retinto,queso-oveja,higos,gourmet"
La Mary Special,La Mary,Madrid,Doble smash con queso cheddar bacon crispy cebolla morada y salsa de la casa Mary. Casera y sabrosa.,doble,"smash,doble,cheddar,casera"
Slaughter Burger,Slaughterhouse,Madrid,Triple carne con triple queso bacon pulled pork huevo frito y aros de cebolla. Masacre deliciosa.,triple,"triple,bacon,pulled-pork,huevo"
La Trocadero Burger,La Trocadero Playa,Madrid,Hamburguesa con carne premium queso de tetilla pulpo a la gallega y pimientos de padrón. Mar y montaña en burger.,premium,"tetilla,pulpo,gallega,fusión"
Ojalá Burger,Ojalá,Madrid,Smash burger con queso provolone bacon aguacate y salsa chipotle. Hipster y deliciosa.,premium,"smash,provolone,aguacate,chipotle"
Tortilla Burger,Pez Tortilla,Madrid,Hamburguesa con tortilla de patatas española queso manchego pimientos y alioli. La más española de todas.,premium,"tortilla,española,manchego,alioli"
Picos Classic,Picos Pardos Chamberi,Madrid,Hamburguesa premium con carne de ternera queso gouda bacon y cebolla caramelizada. Clásico gourmet bien hecho.,premium,"ternera,gouda,bacon,gourmet"
Picos Classic,Picos Pardos Moncloa,Madrid,Hamburguesa premium con carne de ternera queso gouda bacon y cebolla caramelizada. Clásico gourmet bien hecho.,premium,"ternera,gouda,bacon,gourmet"
Picos Classic,Picos Pardos Prosperidad,Madrid,Hamburguesa premium con carne de ternera queso gouda bacon y cebolla caramelizada. Clásico gourmet bien hecho.,premium,"ternera,gouda,bacon,gourmet"
Grosso Roma Burger,Grosso Roma,Madrid,Hamburguesa con carne italiana queso pecorino romano tomate cherry confitado y albahaca. Sabor romano auténtico.,premium,"italiana,pecorino,romana,albahaca"
Pizzi Burger,Pizzi & Dixie,Madrid,Hamburguesa con carne premium mozzarella pepperoni salsa marinara y albahaca. Pizza meets burger.,premium,"mozzarella,pepperoni,marinara,pizza-burger"
Tripea Special,Tripea,Madrid,Hamburguesa con carne de ternera queso manchego jamón ibérico y huevo frito. Española y contundente.,premium,"ternera,manchego,ibérico,huevo"
La Competencia Burger,La Competencia,Madrid,Doble smash con queso cheddar bacon crispy cebolla caramelizada y salsa secreta. Compite con las mejores.,doble,"smash,doble,cheddar,casera"
Arzabal Burger,Arzabal Museo Reina Sofia,Madrid,Hamburguesa gourmet con carne de retinto queso idiazabal pimiento del piquillo y cebolla confitada. Arte en burger.,premium,"retinto,idiazabal,piquillo,gourmet"
Malacatin Burger,Malacatin,Madrid,Hamburguesa con carne de vaca vieja queso de cabra cebolla caramelizada y reducción de vino. Castiza y gourmet.,premium,"vaca-vieja,queso-cabra,vino,castiza"
Celso Burger,Celso y Manolo,Madrid,Smash burger con queso manchego bacon ibérico pimientos de padrón y alioli. Madrileña de pura cepa.,premium,"smash,manchego,ibérico,madrileña"
La Tape Chamberi Burger,La Tape Chamberi,Madrid,Doble smash con queso provolone bacon huevo frito y patatas paja. Sabor de barrio auténtico.,doble,"smash,doble,provolone,huevo"
Vacarnal Burger,Vacarnal,Madrid,Hamburguesa con carne de vaca madurada 90 días queso de oveja trufa negra y cebolla confitada. La más premium de Madrid.,premium,"madurada,trufa,queso-oveja,luxury"
